,micro_labels,macro_labels,ar_labels,frame_name
0,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0000
1,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0001
2,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0002
3,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0003
4,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0004
5,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0005
6,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0006
7,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0007
8,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0008
9,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0009
10,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0010
11,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0011
12,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0012
13,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0013
14,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0014
15,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0015
16,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0016
17,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0017
18,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0018
19,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0019
20,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0020
21,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0021
22,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0022
23,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0023
24,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0024
25,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0025
26,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0026
27,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0027
28,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0028
29,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0029
30,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0030
31,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0031
32,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0032
33,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0033
34,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0034
35,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0035
36,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0036
37,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0037
38,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0038
39,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0039
40,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0040
41,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0041
42,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0042
43,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0043
44,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0044
45,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0045
46,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0046
47,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0047
48,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0048
49,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0049
50,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0050
51,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0051
52,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0052
53,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0053
54,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0054
55,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0055
56,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0056
57,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0057
58,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0058
59,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0059
60,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0060
61,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0061
62,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0062
63,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0063
64,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0064
65,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0065
66,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0066
67,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0067
68,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0068
69,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0069
70,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0070
71,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0071
72,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0072
73,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0073
74,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0074
75,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0075
76,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0076
77,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0077
78,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0078
79,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0079
80,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0080
81,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0081
82,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0082
83,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0083
84,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0084
85,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0085
86,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0086
87,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0087
88,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0088
89,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0089
90,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0090
91,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0091
92,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0092
93,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0093
94,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0094
95,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0095
96,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0096
97,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0097
98,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0098
99,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0099
100,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0100
101,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0101
102,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0102
103,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0103
104,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0104
105,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0105
106,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0106
107,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0107
108,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0108
109,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0109
110,sit_still,adl,actor_repositioning,actor_4_chair_full_ph_cam_1_0110
111,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0111
112,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0112
113,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0113
114,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0114
115,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0115
116,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0116
117,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0117
118,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0118
119,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0119
120,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0120
121,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0121
122,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0122
123,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0123
124,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0124
125,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0125
126,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0126
127,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0127
128,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0128
129,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0129
130,stand_up_from_sit,adl,on_air,actor_4_chair_full_ph_cam_1_0130
